[5, "@jessdelight I just played ur joint two s ago. Everyone in studio was feeling it!\n"]
[1807, "@alexbach i just watched that  last night! I have a quote on myspace\n"]
[1814, "@amandafennelly You mean that 'pass' just shown? I've lost interest in the show now and refuse to see the !\n"]
[1815, "\"@AmazingPhil You're just asking for a horror  there\n"]
[1819, "@AlmaLaCubana or you can just come and chill and watch a\n"]
[1820, "\"@aloemilk I just watched The Fountain vid.. I KNOW THAT GIRL!  She's from Definitely\n"]
[1827, "@amandabynes  just want to let you know im a huge fan  and are you going to be in any s anytime soon? &lt;3\n"]
[1836, "@Andrew_Hogsten wow sorry about that...I just get enthusiastic....about s  yeah just s ;)\n"]
[1837, "@amtaylo  I just mean  Jacob - Taylor Lautner - actually. Hard to find a guy perfect enough to be book Edward.\n"]
[1839, "@AmyJayJay  haha amy i just watched he's just not that into you like yesterday morning. ha that  is kinda depressing lol\n"]
[1887, "@alliewayfilms with ur screenplays?!? Haha it just started getting miserable here! Ok  about to start. Tweet later!\n"]
[1889, "@aplusk A Lot Like Love is one of my fav s! I connect with it + is fun + acting&amp;connection was great! But my Oliver just left again\n"]
[1892, "@aplusk hey... i just watched your  &quot;butterfly effect&quot; i think it\u00ef\u00bf\u00bds great and a little bit weird\n"]
[1923, "\"@aschnebe just finished marley and me\n"]
[1954, "@augustwillo haha no just bella as in beautiful  good  tho!\n"]
[1968, "@beanie612 i just saw your message  Im sorry - def  night ASAP!!!!\n"]
[1973, "@beameanie Sounds like you had a similar  experience. I blame Jason. He attracts kids. Maybe u just knowing him attracts kids to u\n"]
[2012, "....screw it.....I LOVE the rain!! Let is keep raining!! We will just make up the  games in August!!\n"]
[2016, "@akjava  Yeah.. school over.   Now just suffer through getting your butt handed 2 u in  all summer\n"]
[2040, "@cautionespn Sweet - the sun just came out here - after  got cancelled for the day  .  Going to go see Up instead\n"]
[2084, "\"@kirbiej we just finished a long day of . I'd call\n"]
[2102, "@leeahkay Haha I just got home my baby is an amazing  player I have an amazing boyfriend\n"]
[2196, "A little boy walking down the street just shot me using his  bat\n"]
[2221, "Bummed out becuase my twin boys championship  game just got cancelled due to wet field. Stinkin stinks.\n"]
[2226, "@ipgloss i can't watch cause i'm not in seattle.  i was just guessing lol. what did jr do?\n"]
[2252, "figuring out what twitter is.. to just keep track of my  stuff...but there so many phonies on this crap\n"]
[2348, "@gminks i spent all weekend watching  and am just now getting to myh homework for class tomorrow\n"]
[2375, "I'm Bored... If it was thundering I could play .. lol...   I'd just call the Cullens\n"]
[2376, "I just beat my cuz and bro in\n"]
[2377, "I just cut one of the best  guys I know off of the Ceres Coyotes.  it is a sad day in the Coyotes Nation.\n"]
[2388, "I'd like to think its just vampires playing ... But seriousley i need some sleep! Kinda hard to do with loud scary thunder\n"]
[2415, "Is so mad at herself. I slept in and just woke up and so im missing the boys  game\n"]
[2432, "just got up and need to clean house befor emom gets home from the  overnighter i wasn't invited to.\n"]
[2446, "just woke up. dads taking me to get breakfast.  game later\n"]
[2483, "my roomie for next year just invited me to a  game and i had to decline cause i had no way to get to park  oh well - houseparty!\n"]
