[0, "we break dance not hearts by Short Stack is my ringtone.... i LOVE that !!!.....\n"]
[119, "&quot;It's the same old ! (...) Let's play it again!&quot; Dumb? Peter T\u00c3\u00a4gtgren knows how to make a masterpiece from such an dumb lyric\n"]
[120, "\"&quot;Don't Fear the Reaper&quot; by Blue Oyster Cult on the radio--my 12 year old says\n"]
[121, "\"&quot;just like the white winged dove\n"]
[122, "\"&quot;lay it down free\n"]
[123, "&quot;LOSER&quot; is fastly becoming 1 of thee biggest s on the net! Lets PRAY GEFFEN gives Tommy Lee @DJYODA2n9ne a VIDEO BUDGET\n"]
[124, "&quot;Fly With Me&quot;- Jonas Brothers&lt;33 such and amazing  and video!\n"]
[125, "\"&quot;funny the way it is if u think about it someone's broken heart has become ur favorite &quot; perfect for @ddlovato\n"]
[126, "\"&quot;God is great\n"]
[127, "&quot;Good Girls Go Bad&quot; - Cobra Starship (feat. Leighton Meester): my new favorite\n"]
[128, "&quot;Harder than you know&quot; by escape the fate= of my life\n"]
[129, "\"&quot;love is a\n"]
[130, "&quot;LusT For Love&quot; is done! Will be posted tomorrow! And dat  for lild is done also!   (Andr\u00ef\u00bf\u00bd Sam)\n"]
[131, "\"&quot;MAINIT&quot; feat. Q-YORK\n"]
[132, "\"&quot;megan: im going to right a . me: look to your write\n"]
[133, "&quot;MISERY BUSINESS&quot;  listening to paramore's s .\n"]
[134, "&quot;Hey&quot; was on Music Choice! But they spelled @mitchelmusso's name wrong...  SUCH a good  tho!!\n"]
[135, "\"&quot;I brough down the sky for you but all you did was shrug\n"]
[136, "\"&quot;Oh\n"]
[137, "&quot;Our sweetest s are those that tell of the saddest thought&quot; To A Skylark- Percy Bysshe Shelley. Reminds me of Taylor Swift\n"]
[138, "\"&quot;peter pan and wendy turned out fine&quot; -fly with me\n"]
[139, "&quot;Remembering Sunday&quot; -All time L0w. Suh-weet   fave at the mo hehe\n"]
[140, "&quot;I can taste you on my lips and smell you in my clothes.&quot; That s seems appropriate today\n"]
[141, "&quot;I love knowledge. I love thinkin. Fressshman. Fressshman.&quot; pellericious math\n"]
[142, "&quot;Shut up &amp; Let me Go&quot; i Love this\n"]
[143, "\"&quot;i'm ur biggest fan\n"]
[144, "\"&quot;in the valley\n"]
[145, "&quot;Its the God in Me&quot; that  is off da chain\n"]
[146, "\"&quot;Kiss Me Through the Phone&quot; has the worst  lyrics I've heard in years. However\n"]
[147, "&quot;life's like a jump rope! up down. up down. up down. up down.&quot;--my newest  discovery which i love.\n"]
[148, "&quot;Losing you&quot; - Busted. Forgot how much I loved that ...\n"]
[149, "&quot;lovebug&quot; is the most romantic  eveeeeeeeeeeeeeer. ahhh! the @jonasbrothers are genius\n"]
[150, "&quot;Make your own kind of music. Sing your own special . Make your own kind of music EVEN IF NO ONE ELSE SINGS ALONG!&quot;\n"]
[151, "&quot;My Everything&quot; by Cathy Nguyen and Randolph Permejo (Youtube peeps) has been stuck in my head since yesterday! love that .\n"]
[152, "\"&quot;No Children&quot; by The Mountain Goats is an awesomely pessimistic\n"]
[153, "&quot;The Climb&quot; is such an inspirational !  Playing guitar= ?\n"]
[154, "&quot;On my Own - - BarlowGirl...  Is a good  haha.. I was listening it before! XD\n"]
[155, "&quot;one last time&quot; by Elise Estrada...sad\n"]
[156, "#haveyouever   I love that  by S-Club...'Have You Ever'.\n"]
[157, "#iconfess i like john mayer s\n"]
[158, "\"&quot;This  is called Too Close For Comfort&quot; euh\n"]
[159, "&quot;volareee woooooo hooo cantare woo hoohoo&quot; next friday night !\n"]
[160, "\"&quot;Who said\n"]
[161, "#iremember the old 90s s and when I hear them it brings back good memories  and im only 17 :-p but they bring back certain emotions!\n"]
[162, "&quot;The Queen is Dead&quot;  Tonights Chris Packham's Smiths  title\n"]
[163, "\"&quot;The roof\n"]
[164, "\"&quot;There's a part of you in every part of me and I can't outrun you.&quot; Ah\n"]
[165, "\"#jonas-muchbetter @jonasbrothers cannot wait for the album\n"]
[166, "#jonasnews favorites: fly with me and much better. you boys rock  marry me nick?\n"]
[167, "#jonasparanoid I &lt;3 this !!!! can't for the music video...  http://bit.ly/21tMaX\n"]
[168, "&quot;Why can't you see.. You belong with me..&quot; -Taylor Swift. hahaha. got stuck to this . I really love the music video of this !\n"]
[169, "\"#millsthemusical  @lauzzaa i hope you've listened to some of these s\n"]
[170, "\"&quot;this  is for every broken heart...&quot; i love you Nick\n"]
[171, "\"#musicmonday  If you like Seal...and Love s\n"]
[172, "#musicmonday a lot of s for today\n"]
[173, "#musicmonday all of @mateoonline 's s  spesh 'oohh in love' and 'underneath the sky' . he's amazing\n"]
[174, "#musicmonday is for hey monday. LOL  love thier s!\n"]
[175, "&quot;you think yo shit don't smell? but you are mrs. P-u&quot; Lil Wayne sounds the same in ALL his s\n"]
[176, "\"&quot;your the one that i want\n"]
[177, "\"#musicmonday Maybe old news\n"]
[178, "#musicmonday Right Round by Flo Rida  I love this  &lt;3 \u00e2\u2122\u00ab http://blip.fm/~7f5hd\n"]
[179, "&quot;What if I loved you? You know I love you... My everblue.&quot; Most depressing  ever. I love Mandy Moore\n"]
[180, "#myweakness Any @SongzYuuup ! His voice sends a chill down my spine...yuuuuuuup!\n"]
[181, "&quot;When you're dead you don't take nothin with ya but your Soul..think&quot;   John Lennon s stuck in my head tonight    ...Peace...\n"]
[182, "&quot;Where I Stood&quot; - Missy Higgins - saddest  ever   \u00e2\u2122\u00ab http://blip.fm/~7osaz\n"]
[183, "#oftheday has to be Untouched - The Veroinicas http://is.gd/JpGt\n"]
[184, "\"(@jordaaaannnn) One last tweet. @combustible Night.  @TehStalker Shut up\n"]
[185, "(@redsoxfan13x)  stuck in my head. &quot;shut up &amp; let me goooo!&quot;\n"]
[186, "\"(8) I wanna Be Yourr Wifey for Lifey\n"]
[187, "#Video #Classic [Dolly Parton - Jolene] Last !!! See you tomorrow!!!  ? http://blip.fm/~7by6c\n"]
[188, "#wardytrip gotta love the in ear headphones. Some pricks have shite music blaring out on a crap speaker. Only hear snippets 'tween s\n"]
[189, "#zunetune is not like #followfriday - You can submit your awesome  recommendations at any time during the week.\n"]
[190, "*energy* by @misskeribaby is stuck in my head - love the  tho\n"]
[191, "\"*glorious but sad\n"]
[192, "*honestly* jus went to a random page on Myspace &amp; they had my  on their profile!  that shit was random but jus makes me work harder!\n"]
[193, "--&gt; @katyperry in June (28) in Portugal!! I don't know... should I go? Or is just another catching ?!?\n"]
[194, "&lt; is about to get hit in the head from Karen for this   ? http://blip.fm/~5hegz\n"]
[195, "\"*sigh* I sang a\n"]
[196, "&quot;but she wears short skirts I wear t shirts&quot;  I like that\n"]
[197, "&quot;circo obama&quot; UGH! is it safe to say that @iamdiddy fck up day 26 ?! .. Willie &amp; Que can sooooo &quot;get it&quot;\n"]
[198, "&quot;Do You Feel The Way You Hate? Do You Hate The Way You Feel?&quot; aaaw Gavin... quite the writer  http://tinyurl.com/66behl\n"]
[199, "&quot;Each day's a gift and not a given right&quot; - &quot;Today was Your Last Day&quot; Good .  Driving home from my vacay\n"]
[200, "&quot;Each day's a gift and not a given right&quot; from the  &quot;Today was Your Last Day&quot;..pretty good insight!       Driving home from my vacay\n"]
[201, "\"&quot;I can almost see it\n"]
[202, "\"&quot;I got a feeling\n"]
[203, "\"&quot;i know you want me\n"]
[204, "&quot;i learned from you&quot; -@mileycyrus &amp; her dadddyy is an amazing\n"]
[205, "*yawns* Im tired but im not. School just ended yesterday and now i get to record my  that im writing right now on my computer.\n"]
[206, "\"... beyond that\n"]
[207, "&quot;im in a dark theater &quot;writing&quot; a  with nick j who is rockin a faded egg plant shirt &quot; - that is so sweet! gud luck miley!    &lt;3\n"]
[208, "\"... I think this  is in 3/4 time but ARGH I can't quite tell... Damn my talent of musical instinct\n"]
[209, "&quot;It's you&quot; is such a gorgeous . But now I'm all like &quot;NEED SORRY SORRY REPACKAGED NOW!!!!&quot; and I know I can't afford it\n"]
[210, "&quot;Like A Rolling Stone&quot;: what a great . Putting it on ele's trip playlist; hope she doesn't take it personally.\n"]
[211, "&quot;Lucky I'm in love with my bestfriend . . .&quot; Good !  Still driving to SF!\n"]
[212, "&quot;more than anything&quot; best  from Hill  United. hint hint @sandalschurch\n"]
[213, "&quot;Never gonna bring me down &quot; i love that  and i love mitchel he is so awesome\n"]
[214, "\"&quot;Put up or shut up\n"]
[215, "\"&quot;Raindy Day&quot; and &quot;Portrait&quot; are my last s! WHOO!!!!!!! YAY ME! They just need finished. Off to taco bell\n"]
[216, "&quot;Smooth Criminal&quot; -------&gt; best MJ  to dance to! Haha.\n"]
[217, "&quot;So kiss me goodbye.. Honey I am gonna make it out alive.. so kiss me good bye.. I can see the venom in your eyes.&quot; I love this\n"]
[218, "\"&quot;So you gotta be strong\n"]
[219, "........ Lala.. Little girl! I love these new s!  @HiPPiEHO I\u00ef\u00bf\u00bdve answered u ^^ Love to all you freaky twitter guys ;D\n"]
[220, "\"&quot;So\n"]
[221, "\"&quot;This is me.&quot; &quot;That's a Disney ..&quot; &quot;Really? Ha\n"]
[222, "&quot;Underdog&quot; - JB......... I can so relate to that   &lt;3\n"]
[223, "&quot;We're standing here but you don't see me; I'd give it all for that to change.&quot; Aww.  Please leak the full  already! Lol. xD\n"]
[224, "&quot;Whats cooler than being cool?!&quot; &quot;ICE COLD!&quot; lolling at myself.... i want t o listen to that  now\n"]
[225, "\"&quot;You Are My Best Friend&quot; - of Queen\n"]
[226, "\"&quot;you make me feel alive ive ive ive\n"]
[227, "&quot;You raise me up&quot; http://bit.ly/PCenb  : I drop tears when listening to this . so emotional.\n"]
[228, "\"...great\n"]
[229, "\"...Very sexy . It puts me a peaceful mood. That's probably y I'm still sleepy!  so I'll get at y'all when I wake back up\n"]
[230, "(@teamtobias) 'Jizzed in my Pants' is absolute fail. Real ordinary stuff. It's huge following means society fails even more than the\n"]
[231, "\"(8)back it up\n"]
[232, "(contd...) so good last night?? Along with other crappy s that we're of a 6th class standard (Captain Jack etc.) No Tiesto/Darude tho\n"]
[233, "*CRYING *   of choice : resentment by. Beyonce\n"]
[234, "*FSM* The  in my heart....it keeps playin' over and over &amp; I can't get it out!\n"]
[235, "..i think imma start writing again.. i got some surpressed feelings that kud make some dope s im sureee\n"]
[236, ".i just bought a sara barelilles album yesterday.  yaaay~ she's so good at singing. me love her s. :3 [still finishing a fic]\n"]
[237, "*yawns* these s are delaying my food intake..  \u00e2\u2122\u00ab http://blip.fm/~7dv99\n"]
[238, ". . . and the Concrete Blonde  of the same name is not bad either\n"]
[239, "? My  &quot;Toda Sexta-Feira&quot; http://twurl.nl/xnl8kq ( sexta feira means - friday) That\u00ef\u00bf\u00bds for u guys\n"]
[240, "\"? stuck in a room of staring faces. caught in a nightmare\n"]
[241, "? w00t.. i didn't know Magnificent was U2's new single.  it is my favourite  out of no line on the hori.. http://tr.im/m4BW\n"]
[242, "... listeninto boyz II men... awww luv this one ... sad\n"]
[243, "@ ladygaga  I just adore u..I love ur clothes ur style ur s!!.. u r like my role model  just heard fashion gr8t\n"]
[244, ":shes a bad role model  but okay s (Y)\n"]
[245, ";is about to play my  for the first time audience style\n"]
[246, "? heart of life - john mayer. best  ever!!! this guy is sooo good!!  http://tr.im/m5wZ\n"]
[247, "? New s\n"]
[248, "\"...and me # I love that  &amp; Take That. I can't believe I'm going to see them next month\n"]
[249, "...Brighten has 6 s done. I just screamed\n"]
[250, "...fly away  new  i'm working on. about feeling hopeless in a relationship. you just want it to end because you don't know what to do\n"]
[251, "@_acey i LOVE that . ps sorry i missed your calls! my phone was on silent\n"]
[252, "\"@ Barbara Hendricks concert at Chateauvallon near Toulon  she is singing Billie Holliday s\n"]
[253, "\"...okay\n"]
[254, "...the only thing that keeps me wishing on a wishing star he's the  in the car I keep singing don't know why I do\n"]
[255, "\"@ hillunited * I was at Ocean Grove tonight... Praise the Lord\n"]
[256, "\".@MoocherGirl one is a film clip to a  i wrote the lyrics for\n"]
[257, "@#asot400 this  is siiiccckkkk\n"]
[258, "@___radioactivex i think i myt listen to one for the radio that  haz a buzz\n"]
[259, ":'( sad japanese  ehe ehe ehe (crying sound) loveless why are you attacking me  drama anime are just awesome! old animes are awesome!\n"]
[260, "@_AmyDunn_ ahahha. that's one of our dance party break s at work  (thanks for the mental image)\n"]
[261, "@_annee short stack's the bomb (y) even though i only heard one  by them haha. they're so cute (: but they're not doing a show in mel\n"]
[262, "@_babyliu she unfortunately doesn't kno that\n"]
[263, "\"@_bellamuerte_ yes\n"]
[264, "? @elafaki best  ever about Friday  http://tr.im/m5Eb\n"]
[265, "? is thinking that Dat New New (VIKING remix) is the best  ever.  http://tr.im/lAU9\n"]
[266, "@_memoria we'll have plenty of time to learn the new s. Haha that's so cute Jill. I mosdef told my parents about the  already.\n"]
[267, "@_emmyhall_ lol but the  was quite catchy and i was singing it on the way home  :L\n"]
[268, "@_Slamma_ all my favourite s by them and then it kills them.\n"]
[269, "\"@_Hayley__ It's ace\n"]
[270, "@ spookychan Wolfsheim- Care for you ? http://blip.fm/~78qre your wedding ?? It's supposed to be ours too if we ever get married....\n"]
[271, "@_kellylovee aww love that . Makes me wanna watch a walk to remember. Was just watching j&amp;k+8 but TV is not in my bedroom anymore\n"]
[272, "@ work w/ stomach ache   of the day http://tiny.cc/LrjMz ..'njoy it!\n"]
[273, "@___our uau!! dai ke andr\u00c3\u00a0 bene anke francesee!!\n"]
[274, "@106andpark On Bended Knee by Boys II Men....I absolutely love them and i think this  is realy sweet &amp; perfect 4 a romantic dinner\n"]
[275, "@16_MileyCyrus but i want @mileycyrus to win best  from a movie. the others dont compare to me  i love the climb !\n"]
[276, "@19fischi75 im still standin yeah yeah yeah - hey - me luv that  - cant sit still now!\n"]
[277, "\"@_Riff_ np.  And hmmm...greatest rock . lovin life in a crap car on the road. pure rock\n"]
[278, "\"@_annee omg\n"]
[279, "\"@_anthonyjames HAH\n"]
[280, "@1critic Yes and it was awesome! My friends teased me because I was literally nervous by the end even though I knew that  was coming!\n"]
[281, "@115 yes ill be ur sis i love  u that way to\n"]
[282, "@1withabullet Bless the broken road is a good  i like it. its now my fav. hehe\n"]
[283, "@_strokemyEGO LOL! The only s i was able to get from the album was track 1\n"]
[284, "@_cupcake why are you not seeing Eminem tonight?!  boo! i love workin' out to some of his s... haha! rawr!\n"]
[285, "\"@_Danwest     DAN WESTTTTT THIS IS WHAT WE'RE GONNA DOOOO\n"]
[286, "@_Esme_Cullen_  I'm taking a million s from your blip.fm station thing. Sorry\n"]
[287, "@30SECONDSTOMARS cant wait for your new album! love doing acoustic versions of your s! especially the kill!!\n"]
[288, "@30SECONDSTOMARS sounds really good!! much better then Kanye West!! I can't wait to hear your new s\n"]
[289, "@3oh3PFR 'hott'  i love that  (of course i love more than just that one) ha\n"]
[290, "@420thoughts I could tell from your  selections.\n"]
[291, "\"@4dluvofmoney i know more dream s than you\n"]
[292, "@_Maxwell_ oh and request;more Embrya s on tour.Kthnxbai!\n"]
[293, "@_xotashhh im listening to tteh radio  I Don't Care is on right now. who sings that ? do yu kno? (its not the FOB one)\n"]
[294, "@A_Bizzle Awww!  *sniff*  I heart you!    That 's coming up.\n"]
[295, "@1041pm that  means so much to me. Every time I tell someone though they just focus of the prostitute thing\n"]
[296, "@1045CHUMFM Play a  from Mandy Moore's new album!  thankss\n"]
[297, "@13092293 Yes! that  is beautiful\n"]
[298, "@15mab Tnx I'm glad u like the cover  I just uploaded my new  &quot;De Ti&quot; let me know what u think http://bit.ly/fYy2U ....love Dalila\n"]
[299, "\"@106andpark - trey z is alwaysandforever the king of R&amp;B. he's too sexy\n"]
[300, "@106andpark i would have to say the boys that sing that &quot;stanky leg&quot;  because i like em and the first rapper is cute\n"]
[301, "@13twelve I have no idea who @guylet and DrT are. I just hate that drrty girls drrty bois ! Its overplayed and overrated!\n"]
[302, "@1STUD1 http://twitpic.com/5eyea - Daaaaaang baby cakes! I needa come over n steal some s from u\n"]
[303, "@2012worldshift My favourite s everrr!\n"]
[304, "@2bellas thank you! It's probably the best  I ever wrote! Wait 'til the movie comes out in 2 1/2 years\n"]
[305, "@2thousandand9 What  is it? Apparently it is not available in my country.\n"]
[306, "@30secondstomars http://twitpic.com/6dd5l - Love the pic  I wonder which  you were singing...\n"]
[307, "@30SECONDSTOMARS I will love that !! I know it!! I love you so much guys!\n"]
[308, "\"@4995s I'd be more embarrassed if the guys WITHOUT cox came over\n"]
[309, "@30SECONDSTOMARS A new video on Kyte with sound and hearing a new   Please join us in Kyte! We have been waiting....\n"]
[310, "@4everBrandy B. ROCKA!! WHO THE BLEEPITY BLEEP IS RAPPING IN &quot;GONNA FIND MY LOVE&quot;? Is it you girl?? love the  btw its mah ringrone\n"]
[311, "@adairish i don't think i know any of those s.\n"]
[312, "\"@adamcurry If I make a  sampling your @noagendastream\n"]
[313, "@30SECONDSTOMARS Go  Mars! *Waves pompoms* Can't wait to hear the finished\n"]
[314, "@30SECONDSTOMARS lately you mention all the  names you're working on. so probably maybe perhaps possibly you'll tell us the rest?\n"]
[315, "@30SECONDSTOMARS Woooo! How many s left untill its complete? Getting excited now....MARS IS COMING\n"]
[316, "\"@adamkirrmusic yes\n"]
[317, "@3T_michaeljfans I love this !!! TLC is one of my favourite groups\n"]
[318, "@AdCharlie good\n"]
[319, "@AddictOfMusic - Aww...all very nostalgic s.\n"]
[320, "@addieheartsyou writing a\n"]
[321, "\"@4everBrandy Hmm..lol like ya ..&quot;I TRIED&quot;!! Good nite Miss B u r the BEST STILL IN MY BOOK\n"]
[322, "@4realashtont Dats wats up. Hes a great guy n dat  go hard. Thanx 4 da love homie\n"]
[323, "@92Blues how do you know all these s and remember them haha\n"]
[324, "@977983KWIN I loooove that !    you the best i eva had.... best i eva had.... best i eva had! have a good night Jaytee\n"]
[325, "@87sal87 Somehow that  really works  Oh and Sandy loves yogurt\n"]
[326, "@A_Bizzle Wow a Phil Collins  I've not heard.  Nice!\n"]
[327, "@933flz should totally play untouched by the veronicas! i love that .\n"]
[328, "\"@a_rybak Great result\n"]
[329, "@A_Italiano so i was reading david arch.'s twitter and he heard his  on the radio and he said it was awkward. lol.\n"]
[330, "@A_sourgirl It's ok *sniff* I almost cried during that  but I managed to hold it in somehow. Poor Robin looked really really sick\n"]
