[33, "\"#addictedto love s   i know\n"]
[1597, "&quot;I'm not going home.  Not really.&quot;  *bursts into happy tears* I love this ...so bloody much...and @emmielovegood and @hptwilighter.\n"]
[1669, "*who is a marie antoinette fan! i meant. i totallly love that . and im watching it now!\n"]
[1748, "@Agent_M It's in my top 3 favorite s.  I love quoting it while people are watching it... pisses them off.    #ghostbustersfriday\n"]
[1757, "@actionchick @AluraStar @sultryminxzoe I love my Black Nerd Movie Mob Street Team  http://www.reelzchannel.com/mob\n"]
[1777, "@alexjohnson_  i love 'bed s' - they're the best  esp if you also have a bed picnic to go with them\n"]
[1809, "@alexisgirl94 love that !! the black kid is my face\n"]
[1842, "@amylovesdraco i love that  but it is so sad\n"]
[1846, "@andyclemmensen aha the house bunny? i love that ee\n"]
[1904, "@allyyysaid I hope so! Lmao I didnt even read twilight but I fell in love with the\n"]
[1912, "\"@alyssabarlow I love that . &quot;can you pass the peas\n"]
[1918, "@arosefull love it. i am a sucker for the romantic comedy.  when harry met sally is my favorite .\n"]
[1927, "@ambiance11 tell your girls hello.. i love Barbie 2..have a song in the new Barbie  this fall.. w/some behind the scenes stuff 2..\n"]
[1945, "@ayumi_rollan I love that ! It made me cry.\n"]
[1960, "@bayuhlee omg! I love that !! Soo sad though  sorry you can't fall asleep. :/ maybe you'll fall asleep while watching the .\n"]
[1969, "@bearheadedgirl been watching the marathon all day with my kids. I love those s!\n"]
[1972, "@amure1991 I love that !\n"]
[2022, "@Alyssa_Milano You REALLY love . No joke. You were very serious about that statement.\n"]
[2025, "@Alyssa_Milano  The dodgers are one of my fave memories as a child. I love  cuz of my daddy.\n"]
[2106, "@lylasalwaysme - I love the  scene in Twilight - and my friend Doug is going to teach me about  this season.\n"]
[2175, "@witenike I love lazy hot Sundays too! Nothing better than  and beer\n"]
[2215, "At an sf giants game. Were winning! I love coming to  games\n"]
[2287, "Gotta love the Top 10 EPSN  meltdowns...we need to find the top 10 corporate meltdowns   http://kl.am/ryz\n"]
[2363, "I love watching   makes me happy\n"]
[56, "friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC\n"]
[65, "- I love you guys so much that it hurts. http://tumblr.com/xkh1z19us\n"]
[228, "@michaelsarver so do you give him every inch of your love every night?\n"]
[240, "Miss my love Jamie\n"]
[277, "thank god today is friday !!! I love Ti Ti! &lt;3\n"]
[357, "@Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg\n"]
[388, "@THEDIAMONDCOACH  Im sure he'd love that LOL\n"]
[451, "love you! &lt;333\n"]
[578, "&quot;Im in love and I don't care who knows it !&quot; -elf\n"]
[700, "\" @AuroraLee Would love to see you guys sometime! *grin* - and aw rats\n"]
[800, "\" but I love you\n"]
[879, "- @flopearedmule  Guess that's the end of my love affair with emusic.\n"]
[889, "- @Kerry350 would love to meet up with yourself and @angeloys but I've made plans already  we'll get another opportunity again soon!\n"]
[1084, "gotta love her. glad she had fun. looking forward to the beach w/ her!\n"]
[1118, "actually I might be crazy 'cause I love my job.\n"]
[1179, "almost done wit the painting tired as crap. Sleep time.&quot;in love with u&quot;- ziggy marley and erykah badu\n"]
[1303, "I am falling in love with Stockington - such a witty wise meow meow!! ^^\n"]
[1349, "- At a cabaret with my family; I love them!! .. In my comfort zone\n"]
[1498, "bringing my lovely back home. Sucks. Great day. I love her. Steven later.\n"]
[1543, "-- choppin it up w/ @auchboogie  i love you\n"]
[1658, "damn thuderstorms woke me up.. wish my bebe was here with me. I love you RICHARD\n"]
[1694, "I love Dirk and his 44 points from tonight. Now if he could only realize he was meant to be with me..\n"]
[1695, "\" I love him\n"]
[1696, "i love my friends. And cant wait for church tomorrow!!!!!! Im up. Up. Up. Right now. This happens frequently.\n"]
[1697, "i love my momma &lt;3\n"]
[1700, "I love the download fest.\n"]
[1701, "\"- I love you\n"]
[1747, "eeep i love her. so glad she's around.... hannahh! you said you'd text you never didd!\n"]
