[15, "hmm. i really like the s on the summer ep. &lt;3 nsn\n"]
[499, "\"@alwayssmiling yeah~it is. really! Do you like that ? I love it\n"]
[549, "@karenucol ah! I bet it does I've been like craving to play softball or  !!! But I have noo time\n"]
[551, "\"@KDanai nuthin LoL I just dnt like  so when every1 on twitter and fb talk about it\n"]
[558, "\"@Kyunghoonie oh very magical! (you like the pun... i know you do) my gf HATES   im a bball fiend\n"]
[675, "I am at the Park right now with the cuzs kinda bored cause they are to lil to like really play! Man I just want a good game of\n"]
[752, "It's like they are playin  up there!!!!!!\n"]
[767, "It's like a little  reunion.\n"]
[847, "This sounds like good news for Belmont University  fans: http://bit.ly/1QMxj ...the season can't get here fast enough for me\n"]
[1021, "Feels like a giggly  girl!\n"]
[1055, "\" There was already like\n"]
[1092, "#iremember my high years  where i get to see my friends 5 days a week. (even though it was about 6 months ago) feels like ages!\n"]
[1222, "@1jaredPADALECKI hey yeah u do look sexy but i like u more when u smile  anyway just wanted to ask u have you ever run out from ?\n"]
[1231, "@_kate21301427_ Hahahah!! i hate  seriously.. its so rubbish all this week were been doing tests its like ahhh\n"]
[1281, "@adembroski Yeah I like it. that is what I have wanted since 1996 and we were stuck with white pants  I prefer the old  49ers look.\n"]
[1308, "@AllieB29 Miami. Horatio is too cool for  and Miami looks like a perfect place to be right now! I'm ok thx- how about yourself?\n"]
[1345, "@amelia_walker dw lol it snds like u had the best time. I'll ring u tonite. I'm off to  4 exams nw  laaavee uuu\n"]
[1427, "\"@baaatt ..this year. i leave  in like 2 weeks.  &amp; im good\n"]
[1449, "@bengrey sounds like a great idea for sanity during the last few days of\n"]
[1469, "@bonolicious2 I know! There are some really nice ones by  but they're like 1K per month + utilities. Cheaper ones are kinda sketch\n"]
[1486, "@amyjjohnston Sounds like you need to see #StarTrek tonight  I'm finally going to see it tomorrow...with preer hard to see movies!\n"]
[1534, "It looks like both my girls are bailing on the  night  http://plurk.com/p/120n2f\n"]
[1547, "\"#angelsanddemons if you like the book\n"]
[1548, "#FRF The Rocker: 6/10. Fun. Frolicking. Foolish. A tad like 'School of Rock'. Songs were amateurish yet good. Enjoyable\n"]
[1554, "#misquotes &quot;this coffee tastes like sh!t&quot; .. 'it is sh!t Austin'\n"]
[1582, "&quot;how do you like them apples&quot; is from the  Rio Bravo. Good Will Hunting make a lot more sense now.\n"]
[1592, "&quot;life or something like that&quot; Angelina Jolie i do not like you with blond hair ! lol this  is pretty good\n"]
[1626, "(8)Breath into my hands or cup them like a glass to drink from..(8) &quot;But I'm a Cheerleader&quot; is a good .  Still have no idea who I am.\n"]
[1632, "\"&quot;Am I supposed to run from every guy that doesn't like me?&quot; &quot;Um\n"]
[1641, ".. Oh my... When i saw the Twilight: New Moon trailer.. I was like &quot;oh my girdle&quot; like 15 times.. ah.. i'm so psyched for the !!\n"]
[1695, ":Im loosing followers like flies.  oh well... justsaw Bottle Shock... what a good ?I love Chris Pine.\n"]
[1705, "@1rick I like the sound of &quot;Little Blue Ninja&quot;  Great title for anime .\n"]
[1719, "@aaron_matthew sounds like a !\n"]
[1761, "@AdamGoldston thanks mr goldston ill prob watch a funny    like billy madison or something\n"]
[1763, "@alanjlee  just enjoy the   a good book like that with so much details is really hard to capture in a 2-hr film\n"]
[1768, "@adoleo it seems like a decent enough  to see for cheap on a hot weekend\n"]
[1795, "@ajtooley You sound like Rex Reed when he does his  reviews.\n"]
[1799, "@allyXwebb Haha well zeke from neighbours lives like 10 minutes away from me. and I always see him at the s\n"]
[1806, "\"@alexandrastack i like fantasy s\n"]
[1808, "\"@alexis919 I can't watch s like that\n"]
[1821, "\"@alora Nothing like going to sleep with the  on\n"]
[1855, "@AnimalTalkRadio I really like the  &quot;Good Boy&quot; that's because it has a boxer and he talked...or I should say she\n"]
[1875, "@alithered77 damn!!!  lol I didn't like the ... The make out was way better! Can't complain! ;)\n"]
[1891, "@aplusk Ha! Nice...A lot like love is on tv right now  what a cute !\n"]
[1896, "@aplusk That sounds like a line straight out of The Proposal!  Very funny !!!\n"]
[1914, "@Amalee710 ha yeah it is a really weird  &amp; his character is creepy but for some reason I still like it lol..Go see Up--super funny!\n"]
[1932, "@ashleykins01:  no. I only steals boyfriends because i want a bromance like they do in the s..\n"]
[1966, "@bckystrt no like i was in the  surrounded by couples and i was just like aww\n"]
[1973, "@beameanie Sounds like you had a similar  experience. I blame Jason. He attracts kids. Maybe u just knowing him attracts kids to u\n"]
[1999, "@bigsexylatin  dont blame her. is alot of $$. she needs her drugs. is not like she's making s. i would take them too!\n"]
[2002, "I quite like  and bball oh and the odd gridiron match that a tiny tiny part of the worlds population calls football\n"]
[2074, "@jessebarrera i heart you. you make great music AND you like .\n"]
[2080, "\"@HrzMatt I haven't been keeping up w/ it this year like I normally do.I love  and football.GO DENVER!  Anyway\n"]
[2087, "@Lefreak78 Aww that sounds like fun  I love !\n"]
[2152, "@swaga_hava1 lol my boyfriend use to play  n he like it. i watch it but I can get into it.... Not my thing\n"]
[2157, "@thismaycy Whatever. You like -i like Lifetime.\n"]
[2166, "@ziggykai tooooo latee smh u caught feelings like it was a football or .  whats going on todayyy\n"]
[2237, "Easy like Sunday morning. Out on the porch enjoying coffee and family time. Missed church  because we have a  game. Bad excuse.\n"]
[2326, "Hope fading for  today like light fades on the horizon at dusk\n"]
[2354, "\"i have actually started to like . It can get intense\n"]
[2374, "@jessizakool well i could arrange a 'chasing with  bat' if you'd like\n"]
[2388, "I'd like to think its just vampires playing ... But seriousley i need some sleep! Kinda hard to do with loud scary thunder\n"]
[2416, "@LeeTWatts It reminded me why I like  (and going to the ballpark). Plus I definitely needed some downtime.  How's ur wkend?\n"]
[2419, "Looks like the beginning of  season for us Bostonians\n"]
[2457, "\"Keeping one paper box of Bo's clothes in each size for the girls.  I hope they like blue pjs\n"]
[2480, "My goodness I hurt today!! Feels like someone was beating my back with a  bat\n"]
[2482, "My ankle looks like there is a  in it\n"]
[2490, "@musicsinmyveins i like  myself\n"]
[37, "times by like a million\n"]
[105, "really wanted Safina to pull out a win &amp; to lose like that...\n"]
[242, "my head feels like a bowling ball\n"]
[257, "\"   Friends like these ... no thanks\n"]
[292, "I dont like this weekend.. Huhuhu ( (\n"]
[353, "Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..\n"]
[377, "i still Feel like a Douchebag\n"]
[453, "\" - my head feels like its going to explode - mmm\n"]
[559, "- ticketsandpassports: \u00c2\u00a0lmao your not a nerd. i think its cool when guys like anime. http://tumblr.com/xqn1x1tue\n"]
[675, "-- . well then you gon have to stop w. that . &quot;IDC&quot; shit. JUST be faithful like *points to em* MOI!\n"]
[870, "Don't like ending the night arguing with the huz in SMF over stupid home improvement crap.\n"]
[905, "- @PinkElephant73 So pretty much you look like a candy floss machine today\n"]
[906, "@prblog @steverubel posterous looks like tumblr for iPhone? looks interesting. can you fold this content .. http://tr.im/nhcv\n"]
[1047, "\" @ssandall That's it! Removing bots is like weeding a garden. Not fun\n"]
[1096, "\" grrrrr. why can't they just go away for like 2 days! haha. this is stupid. i have to pack for mexico\n"]
[1126, "ahhhhhh supernatural S4E22 is finished!!!! I like to watch Season 5 now. make the season 5 already c'mon!!!\n"]
[1187, "am i too immature for a 16 year old? I just really like Ninja ponies..that have only 3 legs.\n"]
[1288, "How 2 get OCDer 2 eat more than 1-2 meals a day? We could take him off meds &amp; watch him slowly fall apart again but he'd eat like a horse\n"]
[1688, "I like the emo boy in hollyoaks /sad\n"]
[1689, "I look like a freakshow!! The beautician waxed my eyebrows into oblivion!!\n"]
[1762, "everyones going on holiday and im left on my loansome for like the 5 year in a row :'( tis crap to be soo skint stuck in shitty scotland\n"]
[1769, "Feels like a giggly school girl!\n"]
[1770, "Fifa ticketing just times out. Seems like my 2010 ticket chances are getting less and less...\n"]
[1845, "i wanna be like you (Demi)\n"]
